question_id,dimension,question
HI1,Horizontal Individualism,"I'd rather depend on myself than others."
HI2,Horizontal Individualism,"I rely on myself most of the time; I rarely rely on others."
HI3,Horizontal Individualism,"I often do 'my own thing.'"
HI4,Horizontal Individualism,"My personal identity, independent of others, is very important to me."
VI1,Vertical Individualism,"It is important that I do my job better than others."
VI2,Vertical Individualism,"Winning is everything."
VI3,Vertical Individualism,"Competition is the law of nature."
VI4,Vertical Individualism,"When another person does better than I do, I get tense and aroused."
HC1,Horizontal Collectivism,"If a coworker gets a prize, I would feel proud."
HC2,Horizontal Collectivism,"The well-being of my coworkers is important to me."
HC3,Horizontal Collectivism,"To me, pleasure is spending time with others."
HC4,Horizontal Collectivism,"I feel good when I cooperate with others."
VC1,Vertical Collectivism,"Parents and children must stay together as much as possible."
VC2,Vertical Collectivism,"It is my duty to take care of my family, even when I have to sacrifice what I want."
VC3,Vertical Collectivism,"Family members should stick together, no matter what sacrifices are required."
VC4,Vertical Collectivism,"It is important to me that I respect the decisions made by my groups."
