,country,trust_clean,trust_family,trust_neighborhood,trust_know_personally,trust_first_time,trust_another_religion,trust_another_nationality,confidence_churches,confidence_armed_forces,confidence_press,confidence_labour_unions,confidence_police,confidence_parliament,confidence_civil_services,confidence_big_regional_org,confidence_european_union,confidence_government,confidence_political_parties,confidence_major_companies,confidence_green_movement,confidence_justice_system,confidence_UN,trust_family_BIN,trust_neighborhood_BIN,trust_know_personally_BIN,trust_first_time_BIN,trust_another_religion_BIN,trust_another_nationality_BIN,confidence_churches_BIN,confidence_armed_forces_BIN,confidence_press_BIN,confidence_labour_unions_BIN,confidence_police_BIN,confidence_parliament_BIN,confidence_civil_services_BIN,confidence_big_regional_org_BIN,confidence_european_union_BIN,confidence_government_BIN,confidence_political_parties_BIN,confidence_major_companies_BIN,confidence_green_movement_BIN,confidence_justice_system_BIN,confidence_UN_BIN
0,AD,0.25574425,3.815737,2.7208376,3.2662015,2.058058,2.5257835,2.590909,2.002002,,2.245,1.8827727,2.883,2.2360122,2.5065064,2.415493,2.415493,2.441767,1.9574037,2.3997986,2.720322,2.5771947,2.4122984,0.98306775,0.6340977,0.8773679,0.2932933,0.57735085,0.62222224,0.2852853,,0.369,0.1814475,0.765,0.3743642,0.5605606,0.49899396,0.49899396,0.49096385,0.23022312,0.47633433,0.68812877,0.5832493,0.4889113
1,AL,0.025174825,3.9469273,2.7487755,3.2405593,1.4957507,2.3630338,2.2170022,2.5188076,2.7164285,1.8417722,1.5588663,2.5844429,1.3872101,2.1628895,2.8708751,2.8708751,1.6088483,1.3523608,1.9163439,2.069145,1.8508834,2.8761063,0.99650836,0.70118964,0.86853147,0.0927762,0.4749632,0.40715882,0.5124202,0.6292857,0.18635724,0.11700582,0.56902593,0.07659873,0.3427762,0.70731705,0.70731705,0.14817415,0.054968286,0.24089853,0.32267657,0.21696113,0.6998525
2,AM,0.17677514,3.8551953,2.81761,2.9458165,1.8298265,1.9486496,2.2670588,2.985926,3.1500556,1.9630872,1.8987566,2.2533631,1.8866214,2.1930232,2.1993659,2.1993659,2.0261462,1.7875,2.2386317,2.2672276,2.0483372,2.220617,0.98194546,0.72697,0.7677847,0.20967147,0.30391783,0.46078432,0.71518517,0.7799185,0.26584637,0.23134992,0.4241405,0.24263039,0.37906978,0.39714625,0.39714625,0.30807123,0.19734849,0.4140845,0.42588142,0.3217324,0.4084342
3,AR,0.20693277,3.8591409,2.9838383,3.0563948,2.1267893,2.6567163,2.6170213,2.5727365,2.169456,2.0940082,1.7787144,2.0799596,1.9364583,1.863777,2.16375,,2.0649745,1.742236,2.0945377,2.6150289,1.8785425,2.067402,0.98002,0.7808081,0.8066465,0.31595093,0.62112516,0.6103023,0.5534079,0.35564855,0.29958677,0.17492098,0.29453442,0.2375,0.18059856,0.36875,,0.3137056,0.12836438,0.2972689,0.59768784,0.20647773,0.31617647
4,AT,0.4846395,3.8332314,3.1130915,3.3105552,2.3087676,2.5165377,2.5758836,2.21598,2.7545626,2.1371217,2.4908378,3.2055047,2.4209535,2.606383,2.2808988,2.2808988,2.2891264,2.1148264,2.240956,2.6741855,2.8704503,2.3402867,0.98472816,0.84388447,0.9414277,0.3913596,0.5531316,0.5765766,0.37265918,0.6689742,0.3001853,0.5026178,0.86299694,0.43851945,0.57884854,0.4051186,0.4051186,0.4016342,0.26687697,0.35594314,0.6134085,0.7248612,0.4243807
5,AU,0.5401786,3.7591565,2.929169,3.4064589,2.484375,2.8264556,2.8540845,2.1848972,3.1332963,1.9755011,2.0773976,3.1035635,2.186592,2.4511237,,,2.1826282,1.8818941,2.256886,2.6057048,2.682149,2.5650454,0.9783574,0.85108757,0.97104675,0.55022323,0.790277,0.81070423,0.3420322,0.84829897,0.18930958,0.28266966,0.8363029,0.3,0.4764045,,,0.3129176,0.115877435,0.34963462,0.5961969,0.60604364,0.55599546
6,AZ,0.30360308,3.907366,2.7440944,3.0568054,1.7246964,1.951613,1.9334991,2.9585037,3.5101695,2.585163,2.576479,3.1595197,2.751348,2.9219859,2.1767411,2.1767411,3.3234115,2.231836,2.6296053,2.5673013,2.7493439,2.1588352,0.99665177,0.6512936,0.80821145,0.1474841,0.27233252,0.2778123,0.7299825,0.93559325,0.5756677,0.5764791,0.8187536,0.6638706,0.77718675,0.35151118,0.35151118,0.92615914,0.40819022,0.64078945,0.58371633,0.6988189,0.34480476
7,BA,0.0961313,3.8781903,2.8122094,2.951248,1.9265734,2.4657211,2.47191,2.642857,2.5949292,1.8456572,1.9737003,2.5291035,1.7675644,2.1236086,2.4366863,2.4366863,1.7533685,1.6186839,2.1882071,2.2713687,1.9624634,2.3392646,0.9924594,0.6895349,0.7533372,0.23892774,0.52600473,0.5310467,0.56674474,0.5471698,0.16549295,0.2593272,0.5605355,0.16100703,0.31751612,0.48816568,0.48816568,0.17867604,0.12573443,0.36509827,0.40047818,0.2739003,0.44424674
8,BD,0.1292744,3.9841535,3.1993327,2.8187184,1.8770903,2.104149,1.8221447,3.9275,3.3389122,2.8926175,2.7113044,2.4308467,3.0077188,2.884305,2.81621,,3.1095197,2.3617747,2.790279,2.7428308,3.0101266,3.0137277,0.99916595,0.9174312,0.6677909,0.20652173,0.30313295,0.17436792,0.9975,0.9046025,0.715604,0.62608695,0.45431685,0.76929677,0.73721975,0.6712329,,0.82055604,0.4496587,0.65256524,0.6484736,0.7864979,0.76346356
9,BG,0.18050066,3.8908973,2.7548513,3.1095362,2.0200388,2.3374486,2.323816,2.3037724,2.3253095,1.9696552,1.8647846,2.2665358,1.8059406,2.0293913,2.5020747,2.5020747,1.9771044,1.7421927,1.9086143,2.0875645,1.8323232,2.3397534,0.99225307,0.7141009,0.88466495,0.27407888,0.45884773,0.44428968,0.37723362,0.41471803,0.17103449,0.15601783,0.35756385,0.1610561,0.21973407,0.49170125,0.49170125,0.21616162,0.13754153,0.1977528,0.2781457,0.15151516,0.4229584
